,frase
318,"O/A Sra.  Mary Natalie Wick sobreviveu ao acidente do Titanic. Na época, contava com 31 anos, embarcou em Southampton, na cabine C7, classe A. Pagou US$ 164.87 pelo bilhete 36928. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
319,"O/A Sra.  Frederic Oakley (Margaretta Corning Stone) Spedden sobreviveu ao acidente do Titanic. Na época, contava com 40 anos, embarcou em Cherbourg, na cabine E34, classe A. Pagou US$ 134.5 pelo bilhete 16966. Embarcou Acompanhado de irmãos. Embarcou Acompanhado de pais."
320,"O/A Sr.  Samuel Dennis não sobreviveu ao acidente do Titanic. Na época, contava com 22 anos, embarcou em Southampton, na cabine desconhecida, classe C. Pagou US$ 7.25 pelo bilhete A/5 21172. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
321,"O/A Sr.  Yoto Danoff não sobreviveu ao acidente do Titanic. Na época, contava com 27 anos, embarcou em Southampton, na cabine desconhecida, classe C. Pagou US$ 7.9 pelo bilhete 349219. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
322,"O/A Sra.  Hilda Mary Slayter sobreviveu ao acidente do Titanic. Na época, contava com 30 anos, embarcou em Queenstown, na cabine desconhecida, classe B. Pagou US$ 12.35 pelo bilhete 234818. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
323,"O/A Sra.  Albert Francis (Sylvia Mae Harbaugh) Caldwell sobreviveu ao acidente do Titanic. Na época, contava com 22 anos, embarcou em Southampton, na cabine desconhecida, classe B. Pagou US$ 29.0 pelo bilhete 248738. Embarcou Acompanhado de irmãos. Embarcou Acompanhado de pais."
324,"O/A Sr.  George John Jr Sage não sobreviveu ao acidente do Titanic. Na época, contava com desconhecidos anos, embarcou em Southampton, na cabine desconhecida, classe C. Pagou US$ 69.55 pelo bilhete CA. 2343. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
325,"O/A Sra.  Marie Grice Young sobreviveu ao acidente do Titanic. Na época, contava com 36 anos, embarcou em Cherbourg, na cabine C32, classe A. Pagou US$ 135.63 pelo bilhete PC 17760. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
326,"O/A Sr.  Johan Hansen Nysveen não sobreviveu ao acidente do Titanic. Na época, contava com 61 anos, embarcou em Southampton, na cabine desconhecida, classe C. Pagou US$ 6.24 pelo bilhete 345364. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
327,"O/A Sra.  (Ada E Hall) Ball sobreviveu ao acidente do Titanic. Na época, contava com 36 anos, embarcou em Southampton, na cabine D, classe B. Pagou US$ 13.0 pelo bilhete 28551. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
328,"O/A Sra.  Frank John (Emily Alice Brown) Goldsmith sobreviveu ao acidente do Titanic. Na época, contava com 31 anos, embarcou em Southampton, na cabine desconhecida, classe C. Pagou US$ 20.52 pelo bilhete 363291. Embarcou Acompanhado de irmãos. Embarcou Acompanhado de pais."
329,"O/A Sra.  Jean Gertrude Hippach sobreviveu ao acidente do Titanic. Na época, contava com 16 anos, embarcou em Cherbourg, na cabine B18, classe A. Pagou US$ 57.98 pelo bilhete 111361. Embarcou Não acompanhado de irmãos. Embarcou Acompanhado de pais."
330,"O/A Sra.  Agnes McCoy sobreviveu ao acidente do Titanic. Na época, contava com desconhecidos anos, embarcou em Queenstown, na cabine desconhecida, classe C. Pagou US$ 23.25 pelo bilhete 367226. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
331,"O/A Sr.  Austen Partner não sobreviveu ao acidente do Titanic. Na época, contava com 45 anos, embarcou em Southampton, na cabine C124, classe A. Pagou US$ 28.5 pelo bilhete 113043. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
332,"O/A Sr.  George Edward Graham não sobreviveu ao acidente do Titanic. Na época, contava com 38 anos, embarcou em Southampton, na cabine C91, classe A. Pagou US$ 153.46 pelo bilhete PC 17582. Embarcou Não acompanhado de irmãos. Embarcou Acompanhado de pais."
333,"O/A Sr.  Leo Edmondus Vander Planke não sobreviveu ao acidente do Titanic. Na época, contava com 16 anos, embarcou em Southampton, na cabine desconhecida, classe C. Pagou US$ 18.0 pelo bilhete 345764. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
334,"O/A Sra.  Henry William (Clara Heinsheimer) Frauenthal sobreviveu ao acidente do Titanic. Na época, contava com desconhecidos anos, embarcou em Southampton, na cabine desconhecida, classe A. Pagou US$ 133.65 pelo bilhete PC 17611. Embarcou Acompanhado de irmãos. Embarcou Não acompanhado de pais."
335,"O/A Sr.  Mitto Denkoff não sobreviveu ao acidente do Titanic. Na época, contava com desconhecidos anos, embarcou em Southampton, na cabine desconhecida, classe C. Pagou US$ 7.9 pelo bilhete 349225. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
336,"O/A Sr.  Thomas Clinton Pears não sobreviveu ao acidente do Titanic. Na época, contava com 29 anos, embarcou em Southampton, na cabine C2, classe A. Pagou US$ 66.6 pelo bilhete 113776. Embarcou Acompanhado de irmãos. Embarcou Não acompanhado de pais."
337,"O/A Sra.  Elizabeth Margaret Burns sobreviveu ao acidente do Titanic. Na época, contava com 41 anos, embarcou em Cherbourg, na cabine E40, classe A. Pagou US$ 134.5 pelo bilhete 16966. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
338,"O/A Sr.  Karl Edwart Dahl sobreviveu ao acidente do Titanic. Na época, contava com 45 anos, embarcou em Southampton, na cabine desconhecida, classe C. Pagou US$ 8.05 pelo bilhete 7598. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
339,"O/A Sr.  Stephen Weart Blackwell não sobreviveu ao acidente do Titanic. Na época, contava com 45 anos, embarcou em Southampton, na cabine T, classe A. Pagou US$ 35.5 pelo bilhete 113784. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
340,"O/A Sr.  Edmond Roger Navratil sobreviveu ao acidente do Titanic. Na época, contava com 2 anos, embarcou em Southampton, na cabine F2, classe B. Pagou US$ 26.0 pelo bilhete 230080. Embarcou Acompanhado de irmãos. Embarcou Acompanhado de pais."
341,"O/A Sra.  Alice Elizabeth Fortune sobreviveu ao acidente do Titanic. Na época, contava com 24 anos, embarcou em Southampton, na cabine C23 C25 C27, classe A. Pagou US$ 263.0 pelo bilhete 19950. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
342,"O/A Sr.  Erik Gustaf Collander não sobreviveu ao acidente do Titanic. Na época, contava com 28 anos, embarcou em Southampton, na cabine desconhecida, classe B. Pagou US$ 13.0 pelo bilhete 248740. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
343,"O/A Sr.  Charles Frederick Waddington Sedgwick não sobreviveu ao acidente do Titanic. Na época, contava com 25 anos, embarcou em Southampton, na cabine desconhecida, classe B. Pagou US$ 13.0 pelo bilhete 244361. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
344,"O/A Sr.  Stanley Hubert Fox não sobreviveu ao acidente do Titanic. Na época, contava com 36 anos, embarcou em Southampton, na cabine desconhecida, classe B. Pagou US$ 13.0 pelo bilhete 229236. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
345,"O/A Sra.  Amelia ""Mildred"" Brown sobreviveu ao acidente do Titanic. Na época, contava com 24 anos, embarcou em Southampton, na cabine F33, classe B. Pagou US$ 13.0 pelo bilhete 248733. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
346,"O/A Sra.  Marion Elsie Smith sobreviveu ao acidente do Titanic. Na época, contava com 40 anos, embarcou em Southampton, na cabine desconhecida, classe B. Pagou US$ 13.0 pelo bilhete 31418. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
347,"O/A Sra.  Thomas Henry (Mary E Finck) Davison sobreviveu ao acidente do Titanic. Na época, contava com desconhecidos anos, embarcou em Southampton, na cabine desconhecida, classe C. Pagou US$ 16.1 pelo bilhete 386525. Embarcou Acompanhado de irmãos. Embarcou Não acompanhado de pais."
348,"O/A Sr.  William Loch ""William"" Coutts sobreviveu ao acidente do Titanic. Na época, contava com 3 anos, embarcou em Southampton, na cabine desconhecida, classe C. Pagou US$ 15.9 pelo bilhete C.A. 37671. Embarcou Acompanhado de irmãos. Embarcou Acompanhado de pais."
349,"O/A Sr.  Jovan Dimic não sobreviveu ao acidente do Titanic. Na época, contava com 42 anos, embarcou em Southampton, na cabine desconhecida, classe C. Pagou US$ 8.66 pelo bilhete 315088. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
350,"O/A Sr.  Nils Martin Odahl não sobreviveu ao acidente do Titanic. Na época, contava com 23 anos, embarcou em Southampton, na cabine desconhecida, classe C. Pagou US$ 9.22 pelo bilhete 7267. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
351,"O/A Sr.  Fletcher Fellows Williams-Lambert não sobreviveu ao acidente do Titanic. Na época, contava com desconhecidos anos, embarcou em Southampton, na cabine C128, classe A. Pagou US$ 35.0 pelo bilhete 113510. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
352,"O/A Sr.  Tannous Elias não sobreviveu ao acidente do Titanic. Na época, contava com 15 anos, embarcou em Cherbourg, na cabine desconhecida, classe C. Pagou US$ 7.23 pelo bilhete 2695. Embarcou Acompanhado de irmãos. Embarcou Acompanhado de pais."
353,"O/A Sr.  Josef Arnold-Franchi não sobreviveu ao acidente do Titanic. Na época, contava com 25 anos, embarcou em Southampton, na cabine desconhecida, classe C. Pagou US$ 17.8 pelo bilhete 349237. Embarcou Acompanhado de irmãos. Embarcou Não acompanhado de pais."
354,"O/A Sr.  Wazli Yousif não sobreviveu ao acidente do Titanic. Na época, contava com desconhecidos anos, embarcou em Cherbourg, na cabine desconhecida, classe C. Pagou US$ 7.22 pelo bilhete 2647. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
355,"O/A Sr.  Leo Peter Vanden Steen não sobreviveu ao acidente do Titanic. Na época, contava com 28 anos, embarcou em Southampton, na cabine desconhecida, classe C. Pagou US$ 9.5 pelo bilhete 345783. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
356,"O/A Sra.  Elsie Edith Bowerman sobreviveu ao acidente do Titanic. Na época, contava com 22 anos, embarcou em Southampton, na cabine E33, classe A. Pagou US$ 55.0 pelo bilhete 113505. Embarcou Não acompanhado de irmãos. Embarcou Acompanhado de pais."
357,"O/A Sra.  Annie Clemmer Funk não sobreviveu ao acidente do Titanic. Na época, contava com 38 anos, embarcou em Southampton, na cabine desconhecida, classe B. Pagou US$ 13.0 pelo bilhete 237671. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
358,"O/A Sra.  Mary McGovern sobreviveu ao acidente do Titanic. Na época, contava com desconhecidos anos, embarcou em Queenstown, na cabine desconhecida, classe C. Pagou US$ 7.88 pelo bilhete 330931. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
359,"O/A Sra.  Helen Mary ""Ellie"" Mockler sobreviveu ao acidente do Titanic. Na época, contava com desconhecidos anos, embarcou em Queenstown, na cabine desconhecida, classe C. Pagou US$ 7.88 pelo bilhete 330980. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
360,"O/A Sr.  Wilhelm Skoog não sobreviveu ao acidente do Titanic. Na época, contava com 40 anos, embarcou em Southampton, na cabine desconhecida, classe C. Pagou US$ 27.9 pelo bilhete 347088. Embarcou Acompanhado de irmãos. Embarcou Não acompanhado de pais."
361,"O/A Sr.  Sebastiano del Carlo não sobreviveu ao acidente do Titanic. Na época, contava com 29 anos, embarcou em Cherbourg, na cabine desconhecida, classe B. Pagou US$ 27.72 pelo bilhete SC/PARIS 2167. Embarcou Acompanhado de irmãos. Embarcou Não acompanhado de pais."
362,"O/A Sra.  (Catherine David) Barbara não sobreviveu ao acidente do Titanic. Na época, contava com 45 anos, embarcou em Cherbourg, na cabine desconhecida, classe C. Pagou US$ 14.45 pelo bilhete 2691. Embarcou Não acompanhado de irmãos. Embarcou Acompanhado de pais."
363,"O/A Sr.  Adola Asim não sobreviveu ao acidente do Titanic. Na época, contava com 35 anos, embarcou em Southampton, na cabine desconhecida, classe C. Pagou US$ 7.05 pelo bilhete SOTON/O.Q. 3101310. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
364,"O/A Sr.  Thomas O'Brien não sobreviveu ao acidente do Titanic. Na época, contava com desconhecidos anos, embarcou em Queenstown, na cabine desconhecida, classe C. Pagou US$ 15.5 pelo bilhete 370365. Embarcou Acompanhado de irmãos. Embarcou Não acompanhado de pais."
365,"O/A Sr.  Mauritz Nils Martin Adahl não sobreviveu ao acidente do Titanic. Na época, contava com 30 anos, embarcou em Southampton, na cabine desconhecida, classe C. Pagou US$ 7.25 pelo bilhete C 7076. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
366,"O/A Sra.  Frank Manley (Anna Sophia Atkinson) Warren sobreviveu ao acidente do Titanic. Na época, contava com 60 anos, embarcou em Cherbourg, na cabine D37, classe A. Pagou US$ 75.25 pelo bilhete 110813. Embarcou Acompanhado de irmãos. Embarcou Não acompanhado de pais."
367,"O/A Sra.  (Mantoura Boulos) Moussa sobreviveu ao acidente do Titanic. Na época, contava com desconhecidos anos, embarcou em Cherbourg, na cabine desconhecida, classe C. Pagou US$ 7.23 pelo bilhete 2626. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
368,"O/A Sra.  Annie Jermyn sobreviveu ao acidente do Titanic. Na época, contava com desconhecidos anos, embarcou em Queenstown, na cabine desconhecida, classe C. Pagou US$ 7.75 pelo bilhete 14313. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
369,"O/A Sra.  Leontine Pauline Aubart sobreviveu ao acidente do Titanic. Na época, contava com 24 anos, embarcou em Cherbourg, na cabine B35, classe A. Pagou US$ 69.3 pelo bilhete PC 17477. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
370,"O/A Sr.  George Achilles Harder sobreviveu ao acidente do Titanic. Na época, contava com 25 anos, embarcou em Cherbourg, na cabine E50, classe A. Pagou US$ 55.44 pelo bilhete 11765. Embarcou Acompanhado de irmãos. Embarcou Não acompanhado de pais."
371,"O/A Sr.  Jakob Alfred Wiklund não sobreviveu ao acidente do Titanic. Na época, contava com 18 anos, embarcou em Southampton, na cabine desconhecida, classe C. Pagou US$ 6.5 pelo bilhete 3101267. Embarcou Acompanhado de irmãos. Embarcou Não acompanhado de pais."
372,"O/A Sr.  William Thomas Beavan não sobreviveu ao acidente do Titanic. Na época, contava com 19 anos, embarcou em Southampton, na cabine desconhecida, classe C. Pagou US$ 8.05 pelo bilhete 323951. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
373,"O/A Sr.  Sante Ringhini não sobreviveu ao acidente do Titanic. Na época, contava com 22 anos, embarcou em Cherbourg, na cabine desconhecida, classe A. Pagou US$ 135.63 pelo bilhete PC 17760. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
374,"O/A Sra.  Stina Viola Palsson não sobreviveu ao acidente do Titanic. Na época, contava com 3 anos, embarcou em Southampton, na cabine desconhecida, classe C. Pagou US$ 21.08 pelo bilhete 349909. Embarcou Não acompanhado de irmãos. Embarcou Acompanhado de pais."
375,"O/A Sra.  Edgar Joseph (Leila Saks) Meyer sobreviveu ao acidente do Titanic. Na época, contava com desconhecidos anos, embarcou em Cherbourg, na cabine desconhecida, classe A. Pagou US$ 82.17 pelo bilhete PC 17604. Embarcou Acompanhado de irmãos. Embarcou Não acompanhado de pais."
376,"O/A Sra.  Aurora Adelia Landergren sobreviveu ao acidente do Titanic. Na época, contava com 22 anos, embarcou em Southampton, na cabine desconhecida, classe C. Pagou US$ 7.25 pelo bilhete C 7077. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
377,"O/A Sr.  Harry Elkins Widener não sobreviveu ao acidente do Titanic. Na época, contava com 27 anos, embarcou em Cherbourg, na cabine C82, classe A. Pagou US$ 211.5 pelo bilhete 113503. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
378,"O/A Sr.  Tannous Betros não sobreviveu ao acidente do Titanic. Na época, contava com 20 anos, embarcou em Cherbourg, na cabine desconhecida, classe C. Pagou US$ 4.01 pelo bilhete 2648. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
379,"O/A Sr.  Karl Gideon Gustafsson não sobreviveu ao acidente do Titanic. Na época, contava com 19 anos, embarcou em Southampton, na cabine desconhecida, classe C. Pagou US$ 7.78 pelo bilhete 347069. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
